fecha,pasos,distancia_km,ejercicio_min,horas_sueno,calorias,fotos_cantidad,fotos_hora_inicio,fotos_hora_fin,fotos_nombres,evento_titulo,evento_ubicacion,evento_descripcion,evento_hora_inicio,evento_hora_fin,doc_id,doc_titulo,doc_filename,doc_paginas
2018-01-05,0,0,0,0,0,1,12:33,12:33,908.jpg,,,,,,,,,
2023-09-23,0,0,0,0,0,1,11:41,11:41,"Cristiano_Ronaldo_playing_for_Al_Nassr_FC_against_Persepolis,_September_2023_(cropped).jpg",,,,,,,,,
2023-10-11,0,0,0,0,0,2,00:07,00:07,1162400.jpg; 1162388.jpg,,,,,,,,,
2023-10-22,0,0,0,0,0,9,10:04,10:18,"DALL·E 2023-10-22 10.04.51 - Photo of a thrilling soccer scene where a player dressed in white is taking a spectacular shot with full force. Simultaneously, a goalkeeper wearing b.png; DALL·E 2023-10-22 10.04.52 - Photo depicting a dramatic moment in a soccer match where a player in a white jersey is in mid-air, executing a powerful kick towards the goal, while.png; DALL·E 2023-10-22 10.07.56 - 2k resolution desktop background primarily in black, showcasing an abstract design composed of triangles with vibrant red accents.png; DALL·E 2023-10-22 10.07.58 - High-quality 2k PC wallpaper that boasts a sleek black canvas, adorned with geometric triangles and highlighted with bold red elements.png; DALL·E 2023-10-22 10.07.57 - Desktop wallpaper with a resolution of 2k, where the primary color is black, and it is decorated with an array of triangular shapes, with some of them.png; DALL·E 2023-10-22 10.10.51 - Photo of two boxers in the middle of a fierce battle inside a boxing ring, with the crowd in the background cheering.png; DALL·E 2023-10-22 10.10.59 - Cartoon illustration of two boxers squaring off in a ring, with exaggerated features and dynamic action poses.png; DALL·E 2023-10-22 10.11.03 - Claymation style depiction of two boxers, molded from plastilina, exchanging punches in a colorful ring setting.png; DALL·E 2023-10-22 10.18.33 - Pastel green emblem featuring two &#x27;O&#x27; letters intertwined to resemble an apple. A subtle accent on top serves as a leaf, and the overall design has a.png",,,,,,,,,
2024-05-12,0,0,0,0,0,8,16:12,16:18,richard-horvath-_nWaeTF6qo0-unsplash.jpg; space-3840x2160-galaxy-25839.jpg; waves-3840x2160-black-orange-26069.jpg; sunset-3840x2160-dark-4k-24116.jpg; galaxy-3840x2160-space-4k-20329.jpg; macos-rancho-cucamonga-5120x2880-dark-apple-os-x-rancho-cucamonga-24887.jpg; forest-3840x2160-fog-25743.jpg; moon-3840x2160-white-25647.jpg,,,,,,,,,
2025-01-12,0,0,0,0,0,9,16:53,17:14,leaves-3840x2160-5k-4k-wallpaper-macro-purple-5323.jpg; balls-3840x2160-glass-colorful-25516.jpg; balls-3840x2160-glass-colorful-255162.jpg; waves-3840x2160-colorful-26008.jpg; colorful-3840x2160-waves-25691.jpg; iphone-15-3840x2160-stone-black-25559.jpg; northern-lights-3840x2160-sky-winter-mountains-5k-17156.jpg; durdle-door-3840x2160-5k-4k-wallpaper-beach-night-stars-sea-england-11906.jpg; iphone-15-copia.jpg,,,,,,,,,
2025-09-13,8073,6.7,0,0,1239783,0,,,,,,,,,,,,
2025-09-14,8618,6.39,37,0,2376485,0,,,,,,,,,,,,
2025-09-15,29650,23.18,124,0,3249488,0,,,,,,,,,,,,
2025-09-16,27472,21.13,114,1.9,3186465,0,,,,,,,,,,,,
